,Total_Revenue,Total_Expenses,Total_Assets,Net_Assets,Staff_FullTime,Staff_PartTime,Staff_Volunteers,Total_Staff,Revenue_per_Staff,Rev_Exp_Ratio
Total_Revenue,1.0,0.9537728249146129,0.7279569857396263,0.600789123688006,0.004255223275895948,0.6213439074365386,0.008410024857171008,0.009301456907718397,0.12418934296073157,-0.00046629026150304866
Total_Expenses,0.9537728249146129,1.0,0.6891575316978588,0.5669637828810605,0.004058731058263319,0.5984194369918808,0.007931059330504206,0.008876746880421735,0.10183307095686484,-0.0021507356887102633
Total_Assets,0.7279569857396263,0.6891575316978588,1.0,0.956112210190562,0.0056237793959192615,0.46246055997454033,0.005368341918525247,0.00906785540429049,0.07391814693508648,0.0010536395347082942
Net_Assets,0.600789123688006,0.5669637828810605,0.956112210190562,1.0,0.005831284830670878,0.34536767904879134,0.004441807458418517,0.008459679846196017,0.061487687272670725,-0.0004375557680066031
Staff_FullTime,0.004255223275895948,0.004058731058263319,0.0056237793959192615,0.005831284830670878,1.0,0.0034709277885764107,4.8764777998639e-06,0.96636447779866,-0.0003272236309177836,-0.00013997052102156175
Staff_PartTime,0.6213439074365386,0.5984194369918808,0.46246055997454033,0.34536767904879134,0.0034709277885764107,1.0,0.007137840521542757,0.010061338681558143,-0.0019089641521713554,-0.002416946868480081
Staff_Volunteers,0.008410024857171008,0.007931059330504206,0.005368341918525247,0.004441807458418517,4.8764777998639e-06,0.007137840521542757,1.0,0.2571349519211007,0.0018318816729827785,-0.0003413285332742675
Total_Staff,0.009301456907718397,0.008876746880421735,0.00906785540429049,0.008459679846196017,0.96636447779866,0.010061338681558143,0.2571349519211007,1.0,0.000145456426880509,-0.00023478965498370183
Revenue_per_Staff,0.12418934296073157,0.10183307095686484,0.07391814693508648,0.061487687272670725,-0.0003272236309177836,-0.0019089641521713554,0.0018318816729827785,0.000145456426880509,1.0,0.022462396165805535
Rev_Exp_Ratio,-0.00046629026150304866,-0.0021507356887102633,0.0010536395347082942,-0.0004375557680066031,-0.00013997052102156175,-0.002416946868480081,-0.0003413285332742675,-0.00023478965498370183,0.022462396165805535,1.0
