ABN,Charity_Legal_Name,Other_Organisation_Names,Address_Type,Address_Line_1,Address_Line_2,Address_Line_3,Town_City,State,Postcode,Country,Charity_Website,Registration_Date,Date_Organisation_Established,Charity_Size,Number_of_Responsible_Persons,Financial_Year_End,Operates_in_ACT,Operates_in_NSW,Operates_in_NT,Operates_in_QLD,Operates_in_SA,Operates_in_TAS,Operates_in_VIC,Operates_in_WA,Operating_Countries,PBI,HPC,Preventing_or_relieving_suffering_of_animals,Advancing_Culture,Advancing_Education,Advancing_Health,Promote_or_oppose_a_change_to_law__government_poll_or_prac,Advancing_natual_environment,Promoting_or_protecting_human_rights,Purposes_beneficial_to_ther_general_public_and_other_analogous,Promoting_reconciliation__mutual_respect_and_tolerance,Advancing_Religion,Advancing_social_or_public_welfare,Advancing_security_or_safety_of_Australia_or_Australian_public,Aboriginal_or_TSI,Adults,Aged_Persons,Children,Communities_Overseas,Early_Childhood,Ethnic_Groups,Families,Females,Financially_Disadvantaged,LGBTIQA+,General_Community_in_Australia,Males,Migrants_Refugees_or_Asylum_Seekers,Other_Beneficiaries,Other_Charities,People_at_risk_of_homelessness,People_with_Chronic_Illness,People_with_Disabilities,Pre_Post_Release_Offenders,Rural_Regional_Remote_Communities,Unemployed_Person,Veterans_or_their_families,Victims_of_crime,Victims_of_Disasters,Youth,animals,environment,other_gender_identities,Total_Revenue,Total_Expenses,Total_Assets,Net_Assets,Staff_FullTime,Staff_PartTime,Staff_Volunteers,State_Clean,Num_States_Operated,Num_Purposes,Num_Beneficiaries,Is_NT,Size_Encoded
90175059896.0,The SJD Homes Foundation,,Business,433 Princes Hwy,,,Officer,VIC,3809,Australia,,27/10/2024,27/10/2024,Small,7,30-Jun,0,0,0,0,0,0,1,0,AUS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,VIC,1,1,2,0,1.0
75313755767.0,NORTH WEST REGIONAL LANDCARERS INC,,Business,Po Box 3122,,,West Tamworth,NSW,2340,Australia,www.nwrl.org.au,11/10/2023,11/10/2023,Medium,5,30-Jun,0,1,0,0,0,0,0,0,AUS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,Y,Y,Y,,,,,,,,NSW,1,1,8,0,2.0
54281755117.0,Catholic Cemeteries & Crematoria Trust,,Business,L 2 11 Murray Rose Ave,,,Sydney Olympic Park,NSW,2127,Australia,https://catholiccemeteries.com.au/,28/06/2024,25/06/2024,Large,5,30-Jun,0,1,0,0,0,0,0,0,AUS,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,NSW,1,3,2,0,3.0
63247433977.0,HOPE ARABIC CHURCH INCORPORATED,"Hope Arabic Church - South Australia, ÙÙÙØ³Ø© Ø§ÙØ±Ø¬Ø§Ø¡ Ø§ÙØ¹Ø±Ø¨ÙØ© - Ø¬ÙÙØ¨ Ø£Ø³ØªØ±Ø§ÙÙØ§",Business,614 Burbridge Rd,,,West Beach,SA,5024,Australia,www.hopearabicchurch.com,18/06/2024,18/06/2024,Small,6,30-Jun,0,0,0,0,1,0,0,0,AUS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,SA,1,1,7,0,1.0
48468456143.0,John Lister Foundation,,Business,12 Frances Ave,,,Kalinga,QLD,4030,Australia,,14/05/2024,13/05/2024,Small,2,30-Jun,0,0,0,0,0,0,0,0,"AUS, PNG",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,Y,Y,,,,,,,,,QLD,0,3,10,0,1.0
85243602852.0,Cassen Family Foundation,,Business,Po Box 3162,,,Manuka,ACT,2603,Australia,,19/06/2024,19/06/2024,Small,3,30-Jun,0,1,0,0,0,0,0,0,AUS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,ACT,1,1,4,0,1.0
32948847615.0,The Trustee for GRUGEON FAMILY CHARITABLE FOUNDATION,,Business,380 Duckenfield Rd,,,Berry Park,NSW,2321,Australia,,17/05/2021,17/05/2021,Small,3,30-Jun,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,250000.0,478401.0,13843.0,13843.0,0.0,0.0,0.0,NSW,0,1,0,0,1.0
72932643944.0,Apostolic Jesus Name Fellowship,,Business,320 Wa-Tyne Street,,,Napranum Mission River,QLD,4874,Australia,,01/03/2021,01/03/2021,Small,4,30-Sep,0,0,0,1,0,0,0,0,AUS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,QLD,1,1,14,0,1.0
48529939867.0,BENDIGO AMATEUR RADIO AND ELECTRONICS CLUB INC,,Business,35 Lansell St,,,East Bendigo,VIC,3550,Australia,www.barec.net.au,30/08/2021,05/06/1989,Small,4,31-Dec,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,17530.0,14129.0,10000.0,10000.0,0.0,0.0,70.0,VIC,0,1,4,0,1.0
97949195726.0,SHIVA ART CULTURE AND EDUCATION CENTRE INC.,"Shiv Temple Geelong, Shiva Art Centre, The Geelong Hindu Society",Business,,,,,,,,,08/03/2025,08/03/2025,Small,6,30-Jun,0,0,0,0,0,0,1,0,AUS,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,,,Y,,,,,,,,,1,2,12,0,1.0
91193522485.0,M&I Arnold Family PAF,,Business,12 Golden Orchid Cl,,,Bardon,QLD,4065,Australia,,13/05/2021,05/05/2021,Small,3,30-Jun,0,0,0,0,0,0,0,0,AUS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Y,,201300.0,45091.0,882202.0,882202.0,0.0,0.0,1.0,QLD,0,1,0,0,1.0
79873484832.0,SOLID ROCK DEFENCE MINISTRY AUSTRALIA,,Business,,,,,,,,https://www.solidrockministry.org.au,10/05/2021,15/10/2020,Small,6,30-Jun,1,1,0,1,0,0,1,0,AUS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,96824.0,86913.0,30224.0,28987.0,0.0,1.0,10.0,,4,1,3,0,1.0
62601233489.0,MOVEMENT FOR THE ORDINATION OF WOMEN AUSTRALIA LTD,,Business,27 Springfield St,,,Briar Hill,VIC,3088,Australia,www.mowatch.com.au,01/07/2023,09/09/2014,Small,10,30-Jun,1,1,0,1,0,0,1,0,AUS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,VIC,4,1,3,0,1.0
18246792704.0,GEORGES RIVER COMBINED COUNCILS' COMMITTEE INCORPORATED,Georges Riverkeeper,Business,Locked Bag 7064,,,Liverpool BC,NSW,1871,Australia,https://georgesriver.org.au/,27/04/2017,20/11/1997,Medium,15,30-Jun,0,1,0,0,0,0,0,0,AUS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Y,Y,,,,,,,,,NSW,1,1,9,0,2.0
64423343545.0,The Uniting Church in Australia Northern Synod,,Business,2 Railway Street,,,PARAP,NT,0820,Australia,https://www.ns.uca.org.au/,12/05/2021,01/07/1977,Large,7,31-Dec,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,6877682.0,5254981.0,24431683.0,17661306.0,6.0,2.0,24.0,NT,0,1,1,1,3.0
96142275848.0,Jurien Bay Veterans Inc,,Business,Po Box 240,,,Jurien Bay,WA,6516,Australia,,30/04/2021,30/04/2021,Medium,6,30-Jun,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,165590.0,54077.0,238981.0,15594.0,0.0,0.0,14.0,WA,0,1,2,0,2.0
96996145228.0,Veer Charitable Association Inc,,Business,,,,,,,,http://veerfoundation.org.au/,27/01/2021,27/01/2021,Small,3,30-Jun,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,7500.0,7500.0,0.0,0.0,0.0,0.0,5.0,,0,3,0,0,1.0
92552916865.0,AUSTRALASIAN TAIWAN STUDIES ASSOCIATION INCORPORATED,,Business,122 Victoria St,,,Brunswick East,VIC,3057,Australia,https://www.facebook.com/AustralasianTaiwanStudies,01/06/2021,31/05/2021,Small,5,31-Dec,0,0,0,0,0,0,1,0,AUS,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,,,,50193.0,57875.0,7451.0,7451.0,0.0,0.0,20.0,VIC,1,2,10,0,1.0
67216513504.0,Clare Men's Shed Incorporated,,Business,6 Burton St,,,Clare,SA,5453,Australia,,07/07/2021,16/01/2019,Small,5,30-Jun,0,0,0,0,1,0,0,0,AUS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,12766.0,5056.0,19750.0,19750.0,0.0,0.0,15.0,SA,1,1,4,0,1.0
